2005032517   120.50,  25.00,  10.69,   54.48
2005032520   120.50,  25.00,   7.67,   62.60
2005032523   120.50,  25.00,   4.54,   58.86
2005032602   120.50,  25.00,   3.04,   42.87
2005032605   120.50,  25.00,   2.04,  356.07
2005032608   120.50,  25.00,   4.25,  357.16
2005032611   120.50,  25.00,   5.58,  343.65
2005032614   120.50,  25.00,   7.06,  342.87
2005032617   120.50,  25.00,   6.27,    6.59
2005032620   120.50,  25.00,   6.97,   29.47
2005032623   120.50,  25.00,   3.46,   16.60
2005032702   120.50,  25.00,   4.44,  348.31
2005032705   120.50,  25.00,   4.49,  353.10
2005032708   120.50,  25.00,   0.97,   68.96
2005032711   120.50,  25.00,   2.62,  282.13
2005032714   120.50,  25.00,   3.03,  267.73
2005032717   120.50,  25.00,   3.56,  240.20
2005032720   120.50,  25.00,   3.76,  222.52
2005032723   120.50,  25.00,   5.00,  207.90
2005032802   120.50,  25.00,   7.56,  216.23
2005032805   120.50,  25.00,   8.02,  218.73
2005032808   120.50,  25.00,   6.86,  215.33
2005032811   120.50,  25.00,   4.84,  233.75
2005032814   120.50,  25.00,   0.65,  254.90
2005032817   120.50,  25.00,   5.05,   36.87
2005032820   120.50,  25.00,   7.80,   60.84
2005032823   120.50,  25.00,   9.49,   70.48
2005032902   120.50,  25.00,   8.28,   59.04
2005032905   120.50,  25.00,  10.02,   69.74
2005032908   120.50,  25.00,   9.83,   70.88
2005032911   120.50,  25.00,   9.30,   62.94
2005032914   120.50,  25.00,   9.36,   54.92
2005032917   120.50,  25.00,  10.41,   53.59
2005032920   120.50,  25.00,  16.34,   39.49
2005032923   120.50,  25.00,  13.08,   56.13
2005033002   120.50,  25.00,  11.50,   57.14
2005033005   120.50,  25.00,  11.72,   52.42
2005033008   120.50,  25.00,  11.51,   56.77
2005033011   120.50,  25.00,  11.81,   60.24
2005033014   120.50,  25.00,  12.01,   54.52
2005033017   120.50,  25.00,  12.13,   58.55
2005033020   120.50,  25.00,  11.18,   51.94
2005033023   120.50,  25.00,   8.39,   62.52
2005033102   120.50,  25.00,   8.37,   44.08
2005033105   120.50,  25.00,   8.40,   48.62
2005033108   120.50,  25.00,   8.69,   40.66
2005033111   120.50,  25.00,   9.27,   48.37
2005033114   120.50,  25.00,   6.30,   23.39
2005033117   120.50,  25.00,   8.56,   32.20
2005033120   120.50,  25.00,   9.59,   38.73
2005033123   120.50,  25.00,   8.67,   42.34
2005040102   120.50,  25.00,   7.90,   36.51
2005040105   120.50,  25.00,   7.88,   31.09
2005040108   120.50,  25.00,   8.48,   13.43
2005040111   120.50,  25.00,   8.18,   17.44
2005040114   120.50,  25.00,   7.12,    7.10
2005040117   120.50,  25.00,   6.57,   11.14
2005040120   120.50,  25.00,   6.82,   29.05
2005040123   120.50,  25.00,   5.14,    6.25
2005040202   120.50,  25.00,   4.36,  358.55
2005040205   120.50,  25.00,   3.25,  357.01
2005040208   120.50,  25.00,   3.41,   16.15
2005040211   120.50,  25.00,   6.19,   17.97
2005040214   120.50,  25.00,   8.60,   31.10
2005040217   120.50,  25.00,   9.80,   41.53
2005040220   120.50,  25.00,   9.33,   51.79
2005040223   120.50,  25.00,   8.85,   54.42
2005040302   120.50,  25.00,   8.93,   51.96
2005040305   120.50,  25.00,   9.24,   55.00
2005040308   120.50,  25.00,   9.57,   55.13
2005040311   120.50,  25.00,  10.29,   45.12
2005040314   120.50,  25.00,  11.04,   49.44
2005040317   120.50,  25.00,  11.55,   51.89
2005040320   120.50,  25.00,  12.83,   60.54
2005040323   120.50,  25.00,  12.88,   67.88
2005040402   120.50,  25.00,  11.23,   70.60
2005040405   120.50,  25.00,  10.79,   71.51
2005040408   120.50,  25.00,  10.87,   62.37
2005040411   120.50,  25.00,  10.19,   53.42
2005040414   120.50,  25.00,  11.01,   47.43
2005040417   120.50,  25.00,  10.88,   59.14
2005040420   120.50,  25.00,   9.02,   69.64
2005040423   120.50,  25.00,   7.28,   76.50
2005040502   120.50,  25.00,   5.68,   79.86
2005040505   120.50,  25.00,   4.54,   87.73
2005040508   120.50,  25.00,   2.84,   25.66
2005040511   120.50,  25.00,   3.48,    1.15
2005040514   120.50,  25.00,   5.15,  321.71
